text,sentiment,label,text_clean
BIDV - Ngân hàng TMCP Đầu Tư & Phát Triển Việt Nam hết tháng 12/2017 thì phí duy trì dịch vụ là bao nhiêu ạ. nếu như em đăng ký dịch e-banking rồi chịu phí hằng tháng duy trì rồi giờ đăng kí cái này cho tiện sử dụng thì phải chịu thêm phí  phải không ạ. Câu hỏi thứ hai là khi nào BIDV liên kết với Ví MoMo vậy vì đây là một ứng dụng hay mà tài khoản em bên này không sử dụng được. e cám ơn,positive,2,bidv - ngân_hàng tmcp đầu_tư & phát_triển việt_nam hết tháng 12/2017 thì phí duy_trì dịch_vụ là bao_nhiêu ạ . nếu_như em đăng_ký dịch e-banking rồi chịu phí hằng tháng duy_trì rồi giờ đăng_kí cái này cho tiện sử_dụng thì phải chịu thêm phí phải không ạ . câu hỏi thứ hai là khi nào bidv liên_kết với ví momo vậy vì đây là một ứng_dụng hay mà tài_khoản em bên này không sử_dụng được . e cám_ơn
# Tetyeuthuong chúc BIDV thành công và thịnh vượng. Tú Hiền Lê Thu Hiền,positive,2,tetyeuthuong chúc bidv thành_công và thịnh_vượng . tú hiền_lê thu_hiền
Vietcombank em cảm ơn ạ,positive,2,vietcombank em cảm_ơn ạ
"# Tetyeuthuong , Chúc mọi người  năm mới Đinh Dậu vạn sự như ý, khỏe như gà chọi, đẹp như gà mái mơ! Chúc BIDV 1 năm nhiều may mắn, nhiều thành công !",positive,2,"tetyeuthuong , chúc mọi người năm mới đinh_dậu_vạn sự như_ý , khỏe như gà_chọi , đẹp như gà mái_mơ ! chúc bidv 1 năm nhiều may_mắn , nhiều thành_công !"
Cam on anh co van nhA nhung minh thay co 70 ngan ma Phai hoi toi hoi lui mat thoi gian nhu vay minh thay ko hai long lam voi cach lam viec cua ngan hang mot lan nua cam on anh co van nha,negative,0,cam on anh co van_nha nhung_minh thay co 70 ngan_ma phai_hoi toi_hoi lui mat thoi_gian nhu vay minh_thay không hai long_lam voi cach_lam viec_cua ngan hang mot lan_nua cam_on anh co van_nha
Thanks bạn nhé,positive,2,cảm_ơn bạn nhé
Vâng cảm ơn ad,positive,2,vâng cảm_ơn admin
Toan la nv chanh cho thoj dac bt la chj nhanh o cac tjh.,negative,0,toan la nv chanh cho thoj dac bt la chj nhanh o cac tjh .
tối qua nhiều người bị.vừa phải ra ngân hàng làm khiếu nại xong.mà cũng mất thời gian mình chờ đợi,negative,0,tối_qua nhiều người bị . vừa_phải ra ngân_hàng làm khiếu_nại xong . mà cũng mất thời_gian mình chờ_đợi
Thích ctr hiến máu của Bidv - Bidv luôn hướng về cộng đồng nhỉ <3,positive,2,thích ctr hiến máu của bidv - bidv luôn hướng về cộng_đồng nhỉ <3
Chúc mừng VCB Đông Anh!,positive,2,chúc_mừng vcb đông anh !
hoành tráng quá BIDV ơi..,positive,2,hoành_tráng quá bidv ơi .
"# Tetyeuthuong chúc mọi người năm mới sung túc, may mắn và thành công",positive,2,"tetyeuthuong chúc mọi người năm mới sung_túc , may_mắn và thành_công"
Đúng là xài BIDV có khác,positive,2,đúng là xài bidv có khác
Dịch vụ này rất tiện lợi,positive,2,dịch_vụ này rất tiện_lợi
em cảm ơn ạ.,positive,2,em cảm_ơn ạ .
A tiếp tục đạt HUY CHƯƠNG BẠC.Thành tích thật đáng nể phục.Ngưỡng mộ và tự hào quá.A đã mang niềm vui lớn về cho Tổ Quốc hôm nay và mai sau...,positive,2,a tiếp_tục đạt huy_chương bạc . thành_tích thật đáng nể_phục . ngưỡng_mộ và tự_hào quá . a đã mang niềm vui lớn về cho tổ_quốc hôm_nay và mai_sau .
Mọi thứ giờ thì đã quá muộn rồi vietcombank ơi đa phần người ta nản vietcombank là chất lượng phục vụ ...... Nhất là quầy thì ngồi kg còn quầy thì làm kg kịp nhân viên thì làm việc tại chỗ còn khách hàng người ta đến giao dịch .người ta bận cả trăm nghìn việc một ngày ..mà chỉ vì giao dịch thôi mà khách người ta chờ cả mấy tiếng đồng hồ .....buồn thật vietcombank ơi hãy học hỏi đàn anh của agibank đi,negative,0,mọi thứ giờ thì đã quá muộn rồi vietcombank ơi đa_phần người ta nản_vietcombank là chất_lượng phục_vụ . nhất là quầy thì ngồi không còn quầy thì làm không kịp nhân_viên thì làm_việc tại_chỗ còn khách_hàng người ta đến giao_dịch . người ta bận cả trăm nghìn việc một ngày . mà chỉ vì giao_dịch thôi mà khách người ta chờ cả mấy tiếng đồng_hồ . buồn thật vietcombank ơi hãy học_hỏi đàn_anh của agibank đi
Trừ lắm thế,negative,0,trừ lắm thế
mua 2 cái thẻ viettel 200k mã thẻ và seri 15 số.gọi tổng đài bận từ trưa gọi đéo đc cay,negative,0,mua 2 cái thẻ viettel 200 k_mã thẻ và seri 15 số . gọi tổng_đài bận từ trưa gọi đéo được cay
"# Tetyeuthuong chúc BIDV năm mới thành công, ngày càng có nhiều khách hàng hơn, phát triển vững mạnh là 1 trong những ngân hàng lớn và uy tín nhất ở Việt Nam. Mình onl bằng web trên facebook ko phải ứng dụng nhiều khi hình chụp khác các bạn nhưng mà vẫn là hình động canh mất 15phút. Hy vọng may mắn cùng BIDV trong năm mới.",positive,2,"tetyeuthuong chúc bidv năm mới thành_công , ngày_càng có nhiều khách_hàng hơn , phát_triển vững_mạnh là 1 trong những ngân_hàng lớn và uy_tín nhất ở việt_nam . mình onl bằng web trên facebook không phải ứng_dụng nhiều khi hình chụp khác các bạn nhưng_mà vẫn là hình_động canh mất 15 phút . hy_vọng may_mắn cùng bidv trong năm mới ."
# Tetyeuthuong .  Chúc mọi người và BIDV có 1 mùa xuân ấm ấp tràn đầy iu thương Bao Bánh Trai Cay Dia Vy Nguyen Hanh My Do Phuong Thao Nguyen Hieu Nguyen tham gia tìm may mắn đầu xuân.,positive,2,tetyeuthuong . chúc mọi người và bidv có 1 mùa xuân ấm ấp tràn_đầy yêu_thương bao bánh_trai cay dia vy nguyen hanh my do phuong thao_nguyen hieu nguyen tham_gia tìm may_mắn đầu xuân .
"# tetyeuthuong chúc BIDV một năm mới an khang thịnh vượng , tấn tài tấn lộc , chúc cho BIDV luôn được mọi người tin tưởng và luôn luôn thành công",positive,2,"tetyeuthuong chúc bidv một năm mới an_khang thịnh_vượng , tấn tài tấn lộc , chúc cho bidv luôn được mọi người tin_tưởng và luôn_luôn thành_công"
"Mình xài cái thể VISA của BIDV hạn mức 100tr, gần 1 năm nay mới lấy ra dùng, ai ngờ bị khóa thẻ. Suýt chết. Hỏi ra thì nó trả lời do mình có xài thẻ và đã đóng tiền trả lại cả năm nay rồi mà mấy con mẹ ngoài Hà Nội quản lý thẻ không chịu cập nhật nên thẻ mới bị khóa. Trong khi mình đóng dư 2,3tr nó còn chuyển trả lại mình. Có ai nghe tin được không? Chi Nhánh đổ lỗi cho mấy con mẹ quản lý thẻ ngoài Hà Nội. Ghét bố mày hủy thẻ luôn. Thời bây giờ mà làm ăn kiểu này mới hay.",negative,0,"mình xài cái_thể visa của bidv hạn_mức 100 tr , gần 1 năm nay mới lấy ra dùng , ai_ngờ bị khóa thẻ . suýt chết . hỏi ra thì nó trả_lời do mình có xài thẻ và đã đóng tiền trả lại cả năm nay rồi mà mấy con mẹ ngoài hà_nội quản_lý thẻ không chịu cập_nhật nên thẻ mới bị khóa . trong khi mình đóng_dư 2,3_tr nó còn chuyển trả lại mình . có ai nghe tin được không ? chi_nhánh đổ lỗi cho mấy con mẹ quản_lý thẻ ngoài hà_nội . ghét bố mày hủy thẻ luôn . thời bây_giờ mà làm_ăn kiểu này mới hay ."
"Nhưng sao mua vé máy bay trên Vietnam Airlines lại không thể thanh toán bằng thẻ Vietcombank Vietnam Airlines American Express vậy Ads😢😭, hơi thất vọng một xíu...",negative,0,"nhưng sao mua vé máy_bay trên vietnam_airlines lại không_thể thanh_toán bằng thẻ vietcombank vietnam airlines american express vậy ads : crying_face : : loudly_crying_face : , hơi thất_vọng một xíu ."
Vâng . E cảm ơn ạ,positive,2,vâng . e cảm_ơn ạ
em thấy mệt với cách làm việc của trung tâm. chưa đáp ứng nhu cầu khách hàng. Mong vtb làm việc hiệu quả hơn,negative,0,em thấy mệt với cách làm_việc của trung_tâm . chưa đáp_ứng nhu_cầu khách_hàng . mong vtb làm_việc hiệu_quả hơn
sao lam the ghi no lai can dieu kien nhu the tin dung the ad? doc ma ko hieu? muon lam the de mua hang cua nuoc ngoai ma kho khan the,negative,0,sao lam_the ghi no lai_can dieu kien nhu_the tin_dung the ad ? doc ma không hieu ? muon_lam the_de mua hang cua nuoc ngoai ma kho khan the
Sao hết giờ hành chính mà ko chuyển dc tiền ạ,negative,0,sao hết giờ_hành_chính mà không chuyển được tiền ạ
Thank bạn ad siêu dể thương của VCB nhen <3,positive,2,cảm_ơn bạn admin siêu dể_thương của vcb nhen_<3
Dùng thẻ Bidv thật thích vì được nhiều ưu đãi,positive,2,dùng thẻ bidv thật thích vì được nhiều ưu_đãi
E cảm ơn  nhiều lắm,positive,2,e cảm_ơn nhiều lắm
Đang cảm thấy thất vọng vì mình hỏi ko thấy trả lời,negative,0,đang cảm_thấy thất_vọng vì mình hỏi không thấy trả_lời
Lên ngân hang hỏi vay vốn. Bọn nó bảo em đợi đầu năm 2018 nhé. Giờ ko cho vay vcc. Chả hiểu ngân hàng gì.,negative,0,lên ngân_hang hỏi vay vốn . bọn nó bảo em đợi đầu năm 2018 nhé . giờ không cho vay vcc . chả hiểu ngân_hàng gì .
Xin cảm ơn BIDV rất nhiều ạ!,positive,2,xin cảm_ơn bidv rất nhiều ạ !
I LOVE BIDV...!!!,positive,2,i love bidv . !
chuc BIDV phat tai phat loc,positive,2,chuc bidv phat tai_phat loc
Thật là đien rồ,negative,0,thật là đien rồ
Hấp dẫn nhỉ,positive,2,hấp_dẫn nhỉ
"Ko hap dan dau lai suot cao qua co hon ngan hag co 0,9 phan tram thoi",negative,0,"không hap dan dau lai_suot cao qua co_hon ngan hag co_0,9 phan_tram thoi"
# Tetyeuthuong : Kính chúc gia đình BIDV năm mới an khang thịnh vượng!,positive,2,tetyeuthuong : kính_chúc gia_đình bidv năm mới an_khang thịnh_vượng !
Chúc Vietcombank ngày càng phát triển.,positive,2,chúc vietcombank ngày_càng phát_triển .
"Dung the nay dc 1 thoi gian roi, dung chan qua k co cap nhat giam gia nao hay, can thiet, ai chang co tra gop 0℅",negative,0,"dung the nay được 1 thoi gian_roi , dung_chan qua không co_cap nhat giam gia_nao hay , can_thiet , ai_chang co_tra gop 0 ℅"
Đăng lên mạng ma khách hàng nt lên hỏi thì k thấy tl phản hồi lại cho khách hàng biết Zay đăng lên làm j Zay,negative,0,đăng lên mạng ma khách_hàng nhắn_tin lên hỏi thì không thấy tl phản_hồi lại cho khách_hàng biết zay đăng lên làm j zay
Vâng ạ.. E cảm ơn ạ,positive,2,vâng ạ . e cảm_ơn ạ
Em trai mình đang nhận lương qua thẻ Vietcombank.đợt vừa rồi nó muốn làm thẻ tín dụng.thế mà nhân viên tỏ thái độ bất cần và k tư vấn làm thẻ cho e mình,negative,0,em trai mình đang nhận lương qua thẻ_vietcombank . đợt vừa_rồi nó muốn làm thẻ_tín_dụng . thế mà nhân_viên tỏ thái_độ bất_cần và không tư_vấn làm thẻ cho e mình
"Vang, cam on anh a",positive,2,"vang , cam_on anh a"
Hệ thống tích hợp chưa được như ý vì đã nghiên cứu để triển khai,negative,0,hệ_thống tích_hợp chưa được như_ý vì đã nghiên_cứu để triển_khai
👍 cặc,negative,0,: thumbs_up : cặc
Chúc BIDV có mùa trung thu vui vẻ nhé,positive,2,chúc bidv có mùa trung_thu vui_vẻ nhé
Mình ở kim bôi cảm ơn anh nhiều mình sẽ lên hòa bình.,positive,2,mình ở kim_bôi cảm_ơn anh nhiều mình sẽ lên hòa_bình .
Gọi mấy lần mà lúc nào cũng là các chuyên viên đang bận hết ạ,negative,0,gọi mấy lần mà lúc_nào cũng là các chuyên_viên đang bận hết ạ
Cám ơn VCB,positive,2,cám_ơn vcb
"#Tetyeuthuong Năm nay Đinh Dậu lại lên Ở bên con cáo chẳng hề sợ nha Cửa nhà thì lộc tràn vàoDồi dào sức khoẻ, duyên tình vô tưĐầu tư tiền bạc lợi caoCứ đem đến gửi vào BIDV",positive,2,"tetyeuthuong năm nay đinh_dậu lại lên ở bên con_cáo chẳng hề sợ nha cửa nhà thì lộc tràn vàodồi_dào sức_khỏe , duyên_tình vô_tưđầu tư tiền_bạc lợi caocứ đem đến gửi vào bidv"
E đồng tình với c Kim Liên . Lần trc e gọi mà chẳng dk tích sự j mà mất oan tiền,negative,0,e đồng_tình với c kim_liên . lần trc e gọi mà chẳng dk_tích sự j mà mất oan tiền
Thanks ad nhìu nhé!,positive,2,cảm_ơn admin nhìu nhé !
Trò lừa đảo,negative,0,trò lừa_đảo
Chương trình này hay quá,positive,2,chương_trình này hay quá
"# Tetyeuthuong Chúc toàn thể cán bộ,anh chị em BIDV có một cái tết sum vầy,đầm ấm bên gia đình cùng người thân, gặp nhiều may mắn trong năm mới. Hi vọng sớm được trở thành một mảnh ghép của BIDV",positive,2,"tetyeuthuong chúc toàn_thể cán_bộ , anh_chị_em bidv có một cái tết sum_vầy , đầm_ấm bên gia_đình cùng người_thân , gặp nhiều may_mắn trong năm mới . hi_vọng sớm được trở_thành một mảnh ghép của bidv"
"Cứ tẩy chay BIDV đi anh em ạ. Khác tỉnh mất phí okie ko vấn đề, nhưng cùng Tỉnh mà mất phí không bao giờ chấp nhận được. Tẩy chay Ngân hàng lấy phí của dân để thưởng Tết cho Nhân viên.",negative,0,"cứ tẩy_chay bidv đi anh_em ạ . khác tỉnh mất_phí okie không vấn_đề , nhưng cùng tỉnh mà mất_phí không bao_giờ chấp_nhận được . tẩy_chay ngân_hàng lấy phí của dân để thưởng tết cho nhân_viên ."
E thks ạ,positive,2,e thks ạ
"# Tetyeuthuong . Chúc BIDV ngày càng phát triển. Chúc toàn thể CBCNV 1 năm mới sức khỏe, an khang thịnh vượng",positive,2,"tetyeuthuong . chúc bidv ngày_càng phát_triển . chúc toàn_thể cbcnv 1 năm mới sức_khỏe , an khang_thịnh vượng"
Keu chuyen tien may phut dkm may tieng da toi sdeeo dau,negative,0,keu chuyen tien may phut dkm may tieng da toi sdeeo dau
"thật sự thất vọng, 28-1 đăng kỳ tk, 28-2 bị thu phí, xong hôm nay bị thu phí tiếp, ngân hàng làm ăn linh ta linh tinh",negative,0,"thật_sự thất_vọng , 28-1 đăng_kỳ tk , 28-2 bị thu phí , xong hôm_nay bị thu phí tiếp , ngân_hàng làm_ăn linh ta linh_tinh"
Lãi suất 7% hình như cao quá so với tình hình kinh tế hiện nay.,neutral,1,lãi_suất 7 % hình_như cao quá so với tình_hình kinh_tế hiện_nay .
Vay làm nhà mà khóc quá,negative,0,vay làm nhà mà khóc quá
em cảm ơn ạ,positive,2,em cảm_ơn ạ
"Kiểm tra số dt này số tài khoản , lập tức trả lại tiền vào tài khoản . Hôm nay con nào bị chết đói à , mà trừ phí tháng 2 lần thế .. :lập tức kiểm tra lại , muốn lừa đảo phải không ?",negative,0,"kiểm_tra số điện_thoại này số tài_khoản , lập_tức trả lại tiền vào tài_khoản . hôm_nay con nào bị chết đói à , mà trừ phí tháng 2 lần thế . : lập_tức kiểm_tra lại , muốn lừa_đảo phải không ?"
"nhớ hồi trước khoảng 1 năm rồi, có nv tổng đài gọi hỏi góp ý về bidvonline, nói quá trời luôn mà đến giờ website k thay đổi là bao 🤔",negative,0,"nhớ hồi trước khoảng 1 năm rồi , có nv tổng_đài gọi hỏi góp_ý về bidvonline , nói quá trời luôn mà đến giờ website không thay_đổi là bao : thinking_face :"
#Tetyeuthuong kính chúc BIDV - Ngân hàng TMCP Đầu Tư & Phát Triển Việt Nam một năm Đinh dậu phát triển rực rỡ. Tiếp tục là niềm tin vững chắc cho mọi người. Chúc các thành viên đại gia đình BIDV một năm tràn đầy yêu thương ạ <3 <3 <3,positive,2,tetyeuthuong kính chúc bidv - ngân_hàng tmcp đầu_tư & phát_triển việt_nam một năm đinh_dậu phát_triển rực_rỡ . tiếp_tục là niềm tin vững_chắc cho mọi người . chúc các thành_viên đại_gia_đình bidv một năm tràn_đầy yêu_thương ạ <3_<3 <3
Thủ tục rườm rà .thua xa việtcombank ở bên cạnh .badv cần fải học hỏi cách làm việc của vcb .nên chú trọng vào khách hành là ng lđ thì sẽ phát triển hơn thật .,negative,0,thủ_tục rườm_rà . thua xa_việtcombank ở bên cạnh . badv cần fải học_hỏi cách làm_việc của vcb . nên chú_trọng vào khách_hành là ng lđ thì sẽ phát_triển hơn thật .
# Tetyeuthuong Chúc BIDV ngày càng phát triển hơn nữa nha....,positive,2,tetyeuthuong chúc bidv ngày_càng phát_triển hơn_nữa nha .
cam ơn ad,positive,2,cam_ơn admin
dạ e cảm ơn,positive,2,dạ_e cảm_ơn
Dạ. E cảm ơn nha,positive,2,dạ . e cảm_ơn nha
Vâng cảm ơn ad ạ .,positive,2,vâng cảm_ơn admin ạ .
# Tetyeuthuong chúc Bidv luôn thịnh vượng,positive,2,tetyeuthuong chúc bidv luôn thịnh_vượng
"# Tetyeuthuong chúc BIDV ngày càng phát triển hơn nữa ,chúc mọi người một năm an lành hạnh phúc",positive,2,"tetyeuthuong chúc bidv ngày_càng phát_triển hơn_nữa , chúc mọi người một năm an_lành hạnh_phúc"
"Chả hiểu sao dịch vụ của BIDV nhiều thế ko biết, cứ đến kì là trừ 1 lô xích xông. Hủy luôn đỡ bực",negative,0,"chả hiểu sao dịch_vụ của bidv nhiều thế không biết , cứ đến kì là trừ 1 lô xích xông . hủy luôn đỡ bực"
Câu licks hay sao ấy chứ?bao nhiêu câu khách hàng cần tư vấn mà Add lủi mất tăm.,negative,0,câu licks hay sao ấy chứ ? bao_nhiêu câu khách_hàng cần tư_vấn mà admin lủi mất_tăm .
Hay qá! Mai đi đăng ký liền. Vậy mỗi tháng tiết kiệm dc 400-500k rồi. Tks BIDV - Ngân hàng TMCP Đầu Tư & Phát Triển Việt Nam,positive,2,hay qá !_mai đi đăng_ký liền . vậy mỗi tháng tiết_kiệm được 400 - 500 k rồi . cảm_ơn bidv - ngân_hàng tmcp đầu_tư & phát_triển việt_nam
"Mà tôi không biết anh ở trên hội sở hay là ở đâu, nhưng đừng có khi nào cũng nói khách hàng inbox, vì đã là bảo mật thì khách sẽ tự biết cách xử lý, cứ nói ở đây để tất cả mọi người đều biết vấn đề cần giải quyê ́t là gì và gỡ rối chứ hơi tý tôi đọc các cmt của người khác anh lại cứ nói họ inbox , làm như kiểu che đậy thông tin, rón ra rón rén, lén lút chẳng ai biết là gì ấy. như vậy người ta nói là: ""Tự bóp dái mình"" . Vì rõ ràng cách kinh doanh của các anh tôi thấy khác so với những đơn vị khác.",negative,0,"mà tôi không biết anh ở trên hội_sở hay_là ở đâu , nhưng đừng có_khi nào cũng nói khách_hàng inbox , vì đã là bảo_mật thì khách sẽ tự biết cách xử_lý , cứ nói ở đây để tất_cả mọi người đều biết vấn_đề cần giải_quyê ́_t là gì và gỡ_rối chứ hơi tý tôi đọc các cmt của người khác anh lại cứ nói họ inbox , làm như kiểu che_đậy thông_tin , rón ra rón_rén , lén_lút chẳng ai biết là gì ấy . như_vậy người ta nói là : "" tự bóp dái mình "" . vì rõ_ràng cách kinh_doanh của các anh tôi thấy khác so với những đơn_vị khác ."
bản tin của BIDV hữu ích quá nè,positive,2,bản tin của bidv hữu_ích quá nè
ok cảm ơn bạn,positive,2,ok cảm_ơn bạn
"bidv cho vay hay ko phu thuoc y thich cua thang tham dinh, ko co quy dinh ro rang",negative,0,"bidv cho vay hay không phu thuoc y_thich cua_thang tham_dinh , không co_quy_dinh ro rang"
Gọi k được mà tốn tiền như gì ấy,negative,0,gọi không được mà tốn tiền như gì ấy
"Từ lúc thay đổi giao diện thì sử dụng smartphone k thao tách đc? VCB nghiên cứu giúp đi nhé, trên máy tính thì rất ok, còn trên smartphone thì lại k dùng đc.",negative,0,"từ lúc thay_đổi giao_diện thì sử_dụng smartphone không thao_tách đc ?_vcb nghiên_cứu giúp đi nhé , trên máy_tính thì rất ok , còn trên smartphone thì lại không dùng đc ."
Cám ơn nhé,positive,2,cám_ơn nhé
Thanks bạn.,positive,2,cảm_ơn bạn .
"Trước rút ATM bị mất mất lít, chán cái ngân hàng này",negative,0,"trước rút atm bị mất mất_lít , chán cái ngân_hàng này"
# Tetyeuthuong chúc Bidv ngày càng phát triển rực rỡ,positive,2,tetyeuthuong chúc bidv ngày_càng phát_triển rực_rỡ
"# Tetyeuthuong Chúc # BIDV năm mới thành công, có mùa xuân ấm áp nh.",positive,2,"tetyeuthuong chúc bidv năm mới thành_công , có mùa xuân ấm áp_nh ."
Thank anh,positive,2,cảm_ơn anh
"Mà mới mở tk ở ngân hàng chi nhánh bắc sài gòn chiều qua, thái độ nhân viên quá tệ. Cách nói chuyện với khách hàng k thân thiện, mình ngồi chờ, nhân viên nghe điện thoại ba vụ nhà đất, nản hết sức. Nhân viên quầy 5 đó ạ",negative,0,"mà mới mở tài_khoản ở ngân_hàng chi_nhánh bắc sài_gòn chiều_qua , thái_độ nhân_viên quá tệ . cách nói_chuyện với khách_hàng không thân_thiện , mình ngồi chờ , nhân_viên nghe điện_thoại ba vụ nhà_đất , nản hết_sức . nhân_viên quầy 5 đó ạ"
Chương trình ý nghĩa quá. BIDV cố gắng tổ chức nhiều chương trình ý nghĩa như vậy nữa nha ^^,positive,2,chương_trình ý_nghĩa quá . bidv cố_gắng tổ_chức nhiều chương_trình ý_nghĩa như_vậy nữa nha ^ ^
"ngan hàng cho minh cau giải thích vì sao đang ký cả sms và IB mà chỉ sử dụng được IB, còn sms ai gửi tiền đều k thấy j hết, sắng nay có ra phong giao dich quang trung go vấp mà nhận dk câu trả lời k hài lòng, kèm theo thái độ k tốt của nhân viên,",negative,0,"ngan hàng cho minh_cau giải_thích vì sao đang ký cả sms và ib mà chỉ sử_dụng được ib , còn sms ai gửi tiền đều không thấy j hết , sắng nay có ra phong giao dich_quang trung_go vấp mà nhận dk câu trả_lời không hài_lòng , kèm theo thái_độ không tốt của nhân_viên ,"
"Woah, tuyệt vời!!!!",positive,2,"woah , tuyệt_vời !"
Thank anh chi,positive,2,cảm_ơn anh chi
# Tetyeuthuong Chúc BIDV một năm mới phát triển và thịnh vượng. Mong may mắn ạ!,positive,2,tetyeuthuong chúc bidv một năm mới phát_triển và thịnh_vượng . mong may_mắn ạ !
