text,sentiment,label,text_clean
Qua 45ngay thử xem. Lãi cắt cổ. Không Tin thì cứ thử là biết.,negative,0,qua 45 ngay thử xem . lãi cắt_cổ . không tin thì cứ thử là biết .
"# Tetyeuthuong Men chuc BIDV cung tap the CBNV nhieu suc khoe, an lanh va may man trong nam moi.",positive,2,"tetyeuthuong men chuc bidv cung_tap the cbnv nhieu suc khoe , an_lanh va may_man trong nam_moi ."
Em cam on ạ,positive,2,em cam_on ạ
# Tetyeuthuong : Kính chúc gia đình BIDV năm mới an khang thịnh vượng!,positive,2,tetyeuthuong : kính_chúc gia_đình bidv năm mới an_khang thịnh_vượng !
"Nhanh chóng thuận tiện , tiết kiệm thời gian chỉ có bidv smartbanking  ,",positive,2,"nhanh_chóng thuận_tiện , tiết_kiệm thời_gian chỉ có bidv smartbanking ,"
Thẻ Bidv luôn trong tình trạng ko giao dịch được. Nản,negative,0,thẻ bidv luôn trong tình_trạng không giao_dịch được . nản
"# Tetyeuthuong Kính chúc quý ngân hàng BIDV ngày càng phát triển lớn mạnh, quý anh chị CBCNV  năm mới dồi dào sức khỏe, phát tài phát lộc.",positive,2,"tetyeuthuong kính chúc quý ngân_hàng bidv ngày_càng phát_triển lớn_mạnh , quý anh_chị cbcnv năm mới dồi_dào sức_khỏe , phát_tài phát lộc ."
minh cam on ak,positive,2,minh cam_on ak
Phí chuyển khoản cao quá,negative,0,phí chuyển_khoản cao quá
"Hotline vkl, boà nậu của 1080 or 911 lun..ahoho",negative,0,"hotline vkl , boà_nậu của 1080 or 911 lun.ahoho"
dạ em học tài nguyên môi trường nên bắt buộc thanh toán hình thức mới này anh cảm ơn adm nhiều,positive,2,dạ em học tài_nguyên môi_trường nên bắt_buộc thanh_toán hình_thức mới này anh cảm_ơn adm nhiều
Nhìn những bài stt cứ như diễn văn ấy hic hic có thể cải tiến rút gọn dễ hiểu hơn k ạ,neutral,1,nhìn những bài stt cứ như diễn_văn ấy hic_hic có_thể cải_tiến rút gọn dễ hiểu hơn không ạ
"atm bidv ở vsip 1 trong 2 ngày nay rút 6 trụ thì 4 trụ hết tiền, 1 trụ thì rút tiền chờ máy chạy hết 15p 1 lần, chỉ có 1 trụ rút được, lo sửa máy ko lo mà bày ra mấy trò qưỡn chi vậy???",negative,0,"atm bidv ở vsip 1 trong 2 ngày_nay rút 6 trụ thì 4 trụ hết tiền , 1 trụ thì rút_tiền chờ máy chạy hết 15 p 1 lần , chỉ có 1 trụ rút được , lo sửa máy không lo mà bày ra mấy trò qưỡn chi vậy ?"
Cảm ơn nhiều nhé,positive,2,cảm_ơn nhiều nhé
"Bao giờ quý NH mới cải thiện hệ thống CNTT, phần mềm để phục vụ tốt  hơn vậy, ứng dụng BIDV Online trên Android lỗi đầy, người dùng phản ánh cả năm chưa thấy sửa, cập nhật? Các NH khác như VCB, Tech, Sacom...hiện làm rất tốt",negative,0,"bao_giờ quý ngân_hàng mới cải_thiện hệ_thống cntt , phần_mềm để phục_vụ tốt hơn vậy , ứng_dụng bidv online trên android lỗi đầy , người dùng phản_ánh cả năm chưa thấy sửa , cập_nhật ? các ngân_hàng khác như vcb , tech , sacom . hiện làm rất tốt"
"# Tetyeuthuong . Chúc toàn thể các cán bộ, anh chị em BIDV có một cái tết sum vầy, đầm ấm bên gia đình thân yêu, gặp nhiều may mắn trong năm mới.",positive,2,"tetyeuthuong . chúc toàn_thể các cán_bộ , anh_chị_em bidv có một cái tết sum_vầy , đầm_ấm bên gia_đình thân_yêu , gặp nhiều may_mắn trong năm mới ."
# tetyeuthuong . Chuc cho nguoi dan viet nam don nam moi an khang hanh phuc. Chuc cho BIDV ngay cang phat trien manh me,positive,2,tetyeuthuong . chuc cho nguoi dan viet nam don nam moi_an khang_hanh phuc . chuc cho bidv ngay cang phat trien_manh me
Mình cảm ơn bạn nhiều nhé.,positive,2,mình cảm_ơn bạn nhiều nhé .
Minh mn mo the ma ben tu van ko tu van ro rang thu tuc giay to gi het cu keu ra pgd vai ca noi,negative,0,minh mọi người mo the ma_ben tu_van không tu van_ro rang thu tuc giay to gi het cu keu ra pgd vai ca noi
Chuc mung bidv gia lai,positive,2,chuc mung bidv gia_lai
Đm có cái ô cuối cùng méo thấy mở,negative,0,đm có cái ô cuối_cùng méo thấy mở
Nhiều hoạt động ý nghĩa thật,positive,2,nhiều hoạt_động ý_nghĩa thật
"# Tetyeuthuong Năm mới xin chúc BIDV ăn tết vui vẻ, dồi dào sức khoẻ, làm ăn tấn tới phát triển mạnh mẽ",positive,2,"tetyeuthuong năm mới xin chúc bidv ăn tết vui_vẻ , dồi_dào sức khỏe , làm_ăn tấn tới phát_triển mạnh_mẽ"
Nêu day la Ngan hang thi không nên dao dit qua điên thoai facebook tran lan vi bon hạch co co the gia danh lam tôn that niêm tinh va tai sản cua khách hang,neutral,1,nêu day_la ngan hang thi không nên dao_dit qua điên_thoai facebook tran lan_vi bon_hạch co_co the gia_danh lam_tôn that niêm_tinh_va tai_sản cua khách hang
# tetyeuthuog chúc BIDV luôn phát triển!,positive,2,tetyeuthuog chúc bidv luôn phát_triển !
Thủ tục mở tài khoản của ngân hàng gồm những bước nào?,neutral,1,thủ_tục mở tài_khoản của ngân_hàng gồm những bước nào ?
Cám ơn ah!,positive,2,cám ơn ah !
"Lúc làm thẻ mình ko đăng ký dịch vụ báo tin nhắn qua đt trừ tiền hàng tháng mà sao tháng nào vcb cũng trừ mình 8800 là sao.định lên ngân hàng mà chưa lên đc, gọi tổng đài 5 cuộc nghe đc mấy câu đầu cứ tự động ngắt cuộc gọi, thật bực",negative,0,"lúc làm thẻ mình không đăng_ký dịch_vụ báo tin nhắn qua đt_trừ tiền hàng tháng mà sao tháng nào vcb cũng trừ mình 8800 là sao . định lên ngân_hàng mà chưa lên đc , gọi tổng_đài 5 cuộc nghe được mấy câu đầu cứ tự_động ngắt cuộc_gọi , thật bực"
"Thông điệp của VCB nhân dịp sinh nhật lần thứ 54: ""VIETCOMBANK 54 NĂM - CHUNG NIỀM TIN, VỮNG TƯƠNG LAI"". Chúc VCB ngày càng vững mạnh phát triển và đa dạng sản phẩm và chất lượng hơn nhé!",positive,2,"thông_điệp của vcb nhân_dịp sinh_nhật lần thứ 54 : "" vietcombank 54 năm - chung niềm tin , vững tương_lai "" . chúc vcb ngày_càng vững_mạnh phát_triển và đa_dạng sản_phẩm và chất_lượng hơn nhé !"
"CÂU CHUYỆN THỜI ĐẠI INTERNET (CÓ NHỮNG LÚC LỢI BẤT CẬP HẠI) P.S/ Chia Sẻ: Sử dụng ngân hàng  "" BIDV"" nộp tiền Card viettel trực tuyến vào tối ngày thứ 7 19/08/2017 (ngày khuyến mãi kém xí), Tiền trong thẻ thì - mà tiền trong điện thoại thì ko +-. Gọi h ỏi ông viettel nói là hỏi BIDV, gọi hỏi ông BIDV nói 3 ngày mới xem xét nếu xảy ra sự cố sẽ hoàn trả tiền. (Thế 3 ngày làm j còn khuyến mãi kaka, nếu hoàn trả mất cha 25k KM mà e me cả tháng, ẹc ẹc). ngày thứ 2 21/08/2017 gọi ông BIDV nói tiếp nhận sự việc, time xem xét giải quyết 3 ngày tính từ thứ 2 ngày 21/08/2017 đến hết ngày thứ 4 23/08/2017.-+ Không biết có dc hoàn trả hay mà e gọi tổng đài viettel 1 cuộc + BIDV 3 cuộc mất 15.000đ + 3 ngày bực bội (tiền + dịch vụ tạo nên vấn đề)=> tổng thiệt hại trước mắt 15.000 (điện thoại tổng đài) +25.000(Khuyến Mãi) = 40.000 + ức chế 3 ngày rồi ... chưa biết ngày 24/08/2017 có lấy được tiền gốc 50.000 không, nếu không mất toi cả gốc lẫn lỗ.P/s: -  40.000* 5.460.000/10 (54,6 triệu người thuộc lực lượng lao động/10% sử dụng dịch vụ)=218.400.000.000đ - LÃNG PHÍ, THẤT THOÁT THAM NHŨNG DO DÂN VÀ VÌ DÂN (CƯỚP ĐÊM LÀ GIẶC CƯỚP NGÀY LÀ QUAN)https://vi.wikipedia.org/.../Danh_s%C3%A1ch_ng%C3%A2n_h...http://www.vuongmanhhoang.com/.../ty-le-lao-ong-tren-dan...Tuỳ theo cảm nhận mỗi người mà chọn dịch vụ...",negative,0,"câu_chuyện thời_đại internet ( có những lúc lợi_bất_cập_hại ) p . s / chia_sẻ : sử_dụng ngân_hàng "" bidv "" nộp tiền card viettel trực_tuyến vào tối_ngày thứ 7 19/08/2017 ( ngày khuyến_mãi kém_xí ) , tiền trong thẻ thì - mà tiền trong điện_thoại thì không + - . gọi h_ỏi ông viettel nói là hỏi bidv , gọi hỏi ông bidv nói 3 ngày mới xem_xét nếu xảy ra sự_cố sẽ hoàn_trả tiền . ( thế 3 ngày làm j còn khuyến_mãi kaka , nếu hoàn_trả mất cha 25 k km mà e_me cả tháng , ẹc ẹc ) . ngày thứ 2 21/08/2017 gọi ông bidv nói tiếp_nhận sự_việc , time xem_xét giải_quyết 3 ngày tính từ thứ 2 ngày 21/08/2017 đến hết ngày thứ 4 23/08/2017 . - + không biết có được hoàn_trả hay mà e gọi tổng_đài viettel 1 cuộc + bidv 3 cuộc mất 15.000 đ + 3 ngày bực_bội ( tiền + dịch_vụ tạo nên vấn_đề ) =>_tổng thiệt_hại trước_mắt 15.000 ( điện_thoại tổng_đài ) + 25.000 ( khuyến_mãi ) = 40.000 + ức_chế 3 ngày rồi . chưa biết ngày 24/08/2017 có lấy được tiền gốc 50.000 không , nếu không mất_toi cả gốc lẫn lỗ . p / s : - 40.000 * 5.460.000 / 10 ( 54,6 triệu người thuộc lực_lượng lao_động / 10 % sử_dụng dịch_vụ ) = 218.400.000.000 đ - lãng_phí , thất_thoát tham_nhũng do dân và vì dân ( cướp đêm là giặc cướp ngày là quan ) theo cảm_nhận mỗi người mà chọn dịch_vụ ."
"dạ, cảm ơn ad ạ",positive,2,"dạ , cảm_ơn admin ạ"
Tài khoản Bidv của mình vẫn không thể thực hiện được: SmartBanking và onlineBanking dù đủ thể loại hỗ trợ. Hay do mình chưa gãi đúng chỗ ngứa? Nản! 😔,negative,0,tài_khoản bidv của mình vẫn không_thể thực_hiện được : smartbanking và onlinebanking dù đủ thể_loại hỗ_trợ . hay do mình chưa gãi đúng chỗ ngứa ?_nản ! : pensive_face :
"Chúc bác đã sang tuổi 54! Chúc bác ngày càng rủng rỉnh, phong độ và nổi tiếng!",positive,2,"chúc bác đã sang tuổi 54 !_chúc bác ngày_càng rủng_rỉnh , phong_độ và nổi_tiếng !"
Cảm ơn chương trình ưu đãi dành cho khách hàng VIP.,neutral,1,cảm_ơn chương_trình ưu_đãi dành cho khách_hàng vip .
Tôi không thấy lợi ích rõ ràng ngay lập tức.,neutral,1,tôi không thấy lợi_ích rõ_ràng ngay_lập_tức .
"gt thế thì đừng gt còn hơn ,",negative,0,"gt thế thì đừng gt còn hơn ,"
Cam on ah,positive,2,cam on ah
"hôm qua tôi ghé VCB Tân Sơn Nhì lúc 4g00 thì bị báo hết giờ làm việc, bv chỉ qua PGD Tây Thạnh ở số 197-198 Tây Thạnh gì đó, tìm mãi mới ra thì ra anh ấy cho sai địa chỉ nó nằm ở 108 Tây Thạnh. Tôi đến trình bày việc mở thẻ phụ cho thẻ tín dụng thì khô ng thấy ai ngồi tại quầy, sau khi ngồi chờ 15 phút, cô nhân viên xinh xắn đưa 2 form điền thông tin, sau khi tôi điền xong thì cô ấy quay sang hỏi người kế bên và kết luận là tôi phải quay trở về đúng nơi mở thẻ mới làm thẻ phụ được, tôi nói vậy sao không báo trước ngay từ đầu thì anh chàng bên cạnh lại chỉ qua PGD AEON vì theo anh ấy là ngoài nơi mở thẻ ra thì chỉ có một số PGD lớn như AEON mới làm được còn PGD này thì bó tay. Tôi chạy qua PGD AEON thì đúng 5g, tất cả nhân viên đều xách giỏ đi về, gặp người cuối cùng người đó trả lời 8g30 sáng thứ hai quay lại. Hỡi ôi VCB, mọi người hãy chúc cho tôi mở thẻ thành công tại PGD AEON vào sáng thứ hai nhé nếu không chắc tôi sẽ xỉu tại chỗ với cách làm việc này.... Thôi thì ráng đợi từ thứ 6-> sang thứ 2 chứ biết sao giờ :(",negative,0,"hôm_qua tôi ghé vcb_tân sơn nhì lúc 4 g00 thì bị báo hết giờ làm_việc , bv chỉ qua pgd tây_thạnh ở số 197 - 198 tây_thạnh gì đó , tìm mãi mới ra thì_ra anh ấy cho sai địa_chỉ nó nằm ở 108 tây_thạnh . tôi đến trình_bày việc mở thẻ phụ cho thẻ_tín_dụng thì khô ng thấy ai ngồi tại quầy , sau khi ngồi chờ 15 phút , cô nhân_viên xinh_xắn đưa 2 form_điền thông_tin , sau khi tôi điền xong thì cô ấy quay sang hỏi người kế bên và kết_luận là tôi phải quay trở về đúng nơi mở thẻ mới làm thẻ phụ được , tôi nói vậy sao không báo trước ngay từ đầu thì anh_chàng bên cạnh lại chỉ qua pgd_aeon vì theo anh ấy là ngoài nơi mở thẻ ra thì chỉ có một_số pgd lớn như aeon mới làm được còn pgd này thì bó_tay . tôi chạy qua pgd aeon thì đúng 5 g , tất_cả nhân_viên đều xách giỏ đi về , gặp người cuối_cùng người đó trả_lời 8 g30 sáng thứ hai quay lại . hỡi ôi vcb , mọi người hãy chúc cho tôi mở thẻ thành_công tại pgd aeon vào sáng thứ hai nhé nếu không chắc tôi sẽ xỉu tại_chỗ với cách làm_việc này . thôi thì ráng đợi từ thứ 6 -> sang thứ 2 chứ biết sao giờ : ("
Thank bạn ad siêu dể thương của VCB nhen <3,positive,2,cảm_ơn bạn admin siêu dể_thương của vcb nhen_<3
"Chào ad. Mình muốn khiếu nại cách chăm sóc giải đáp thông tin KH của nhân viên đối với KH thì mình cần liên hệ với ai, số máy nào ạ. Mình cảm ơn. Mình rất bức xúc vì thái độ của NH tổng đài tắt máy khi KH đang hỏi thông tin và đang nói dở.",negative,0,"chào_ad . mình muốn khiếu_nại cách chăm_sóc giải_đáp thông_tin kh của nhân_viên đối_với kh thì mình cần liên_hệ với ai , số máy nào ạ . mình cảm_ơn . mình rất bức_xúc vì thái_độ của ngân_hàng tổng_đài tắt_máy khi kh đang hỏi thông_tin và đang nói dở ."
Hay quá BIDV thật là trai tài gái giỏi mà đẹp nữa,positive,2,hay quá bidv thật là trai tài gái giỏi mà đẹp nữa
Tôi có 1 triệu đồng để gửi tiết kiệm.,neutral,1,tôi có 1 triệu đồng để gửi tiết_kiệm .
# Tetyeuthuong Chúc BIDV sang năm mới làm ăn thịnh phượng và phát triển hơn,positive,2,tetyeuthuong chúc bidv sang năm mới làm_ăn thịnh_phượng và phát_triển hơn
Nói chứ có làm mỗi cái thẻ ở ngân hàng này để Cty chuyển lương mà bị trừ tiền khang luôn...,negative,0,nói chứ có làm mỗi cái thẻ ở ngân_hàng này để cty chuyển lương mà bị trừ tiền khang luôn .
Tại sao tôi không thể thực hiện nạp tiền trực tuyến lên tài khoản ngân hàng của mình?,neutral,1,tại_sao tôi không_thể thực_hiện nạp tiền trực_tuyến lên tài_khoản ngân_hàng của mình ?
"Kính chào, tôi muốn hỏi cách đăng ký internet banking trên ứng dụng ngân hàng của quý ngân hàng?",neutral,1,"kính chào , tôi muốn hỏi cách đăng_ký internet banking trên ứng_dụng ngân_hàng của quý ngân_hàng ?"
chúc BIDV ngày càng phát triển thêm nhá,positive,2,chúc bidv ngày_càng phát_triển thêm nhá
Phong Anh  mất niềm tin quá :'(,negative,0,phong anh mất niềm tin quá : ' (
bởi vậy bưc gần chết luôn,negative,0,bởi_vậy bưc gần chết luôn
Vietcombank tks,positive,2,vietcombank cảm_ơn
Sdt toàn k gọi dc.ngân hàng xuốt ngày lỗi hệ thống quá nản😢,negative,0,số điện_thoại toàn không gọi dc . ngân_hàng xuốt ngày lỗi hệ_thống quá nản : crying_face :
cám ơn add,positive,2,cám_ơn admin
Nhân viên ở Tiền Hải chán quá khiến mình k muốn gửi tk ở đó,negative,0,nhân_viên ở tiền hải_chán quá khiến mình không muốn gửi tài_khoản ở đó
Thật sự mình rất hài lòng khi làm việc với Vietcombank.,positive,2,thật_sự mình rất hài_lòng khi làm_việc với vietcombank .
Có tổng là 13*6 + 11*10. Hi vọng may mắn. Chúc BIDV luôn phát triển mạnh mẽ chăm sóc khách hàng thật tốt😘😘😘😘,positive,2,có tổng là 13 * 6 + 11 * 10 . hi_vọng may_mắn . chúc bidv luôn phát_triển mạnh_mẽ chăm_sóc khách_hàng thật tốt : face_blowing_a_kiss : : face_blowing_a_kiss : : face_blowing_a_kiss : : face_blowing_a_kiss :
"Vcb nên sa thải hết nhân viên chăm sóc khách hàng .tuyển nhân viên biết cách chăm sóc khách hàng của mình ,gọi k bao giờ nghe máy .gọi còn tốn tiền ức chế vải . Bị mất thẻ khu vực k có ngân hàng gọi bảo cắt thẻ dùm gọi đủ các số k dc .máy kêu cũng k th ấy ai nghe máy còn bị trừ tiền .sa thải hết đi đến lúc người dùng quay mặt k dùng vcb nữa .Còn thêm chuyện thẻ cùng ngân hangg rút ở cây vcb cũng bị trừ thuế .các loại thẻ khác làm gì bị trừ .mà vcb trừ thuế rút cùng cây .",negative,0,"vcb nên sa_thải hết nhân_viên chăm_sóc khách_hàng . tuyển nhân_viên biết cách chăm_sóc khách_hàng của mình , gọi không bao_giờ nghe máy . gọi còn tốn tiền ức_chế vải . bị mất thẻ khu_vực không có ngân_hàng gọi bảo cắt thẻ_dùm gọi đủ các số không được . máy kêu cũng không th ấy ai nghe máy còn bị trừ tiền . sa_thải hết đi đến lúc người dùng quay mặt không dùng vcb nữa . còn thêm chuyện thẻ cùng ngân_hangg rút ở cây vcb cũng bị trừ thuế . các loại thẻ khác làm gì bị trừ . mà vcb_trừ thuế rút cùng cây ."
"Hàng tháng trích tk thu gốc lãi không nhận đc tn báo biến động số du. Tk lúc báo lúc k, rất bực mình.",negative,0,"hàng tháng trích tài_khoản thu gốc lãi không nhận được tn báo biến_động số du . tài_khoản lúc báo lúc k , rất bực_mình ."
#Tetyeuthuong Chúc BIDV ngày càng phát triển vững mạnh. Thank for bidv💋,positive,2,tetyeuthuong chúc bidv ngày_càng phát_triển vững_mạnh . cảm_ơn for_bidv : kiss_mark :
Vietcombank tks add trước nha,positive,2,vietcombank cảm_ơn admin trước nha
"Một dịch vụ tiện lợi cực kỳ, cho thẻ BIDV 5* với dịch vụ này 😍",positive,2,"một dịch_vụ tiện_lợi cực_kỳ , cho thẻ bidv 5 * với dịch_vụ này : smiling_face_with_heart-eyes :"
Cảm ơn ah,positive,2,cảm_ơn ah
Vcb dịch vụ tốt nhưng vấn đề nằm ở thời gian xử lý thủ tục đăng ký thẻ.,neutral,1,vcb dịch_vụ tốt nhưng vấn_đề nằm ở thời_gian xử_lý thủ_tục đăng_ký thẻ .
"may quá, tháng sau đang định đặt vé, có BIDV được hoàn 5% rồi",positive,2,"may quá , tháng sau đang định đặt vé , có bidv được hoàn 5 % rồi"
# tetyeuthuong chúc BIDV luôn thành công,positive,2,tetyeuthuong chúc bidv luôn thành_công
Thank you!,positive,2,cảm_ơn you !
"Thưa ngân hàng, tôi muốn biết số tiền thanh toán cuối cùng của tôi là bao nhiêu?",neutral,1,"thưa ngân_hàng , tôi muốn biết số tiền thanh_toán cuối_cùng của tôi là bao_nhiêu ?"
chẳng thấy kq ngày nào cũng hong ad,negative,0,chẳng thấy kq ngày nào cũng hong admin
# tetyeuthuong chúc BIDV ngày càng thành công,positive,2,tetyeuthuong chúc bidv ngày_càng thành_công
Qua Tuyệt voi!,positive,2,qua tuyệt_voi !
Da em cam ổn a,positive,2,da em cam_ổn a
"Thưa anh chị, thủ tục mở tài khoản có phức tạp không?",neutral,1,"thưa anh_chị , thủ_tục mở tài_khoản có phức_tạp không ?"
"# Tetyeuthuong Vẫn luôn tin yêu BIDV. Chúc mọi nhà năm mới nhiều niềm vui, ăn khang thịnh vượng",positive,2,"tetyeuthuong vẫn luôn tin_yêu bidv . chúc mọi nhà năm mới nhiều niềm vui , ăn khang_thịnh vượng"
Dạ e cám ơn ad...,positive,2,dạ_e cám_ơn ad .
Tháng 8 chấm kỳ quá,negative,0,tháng 8 chấm_kỳ quá
# Tetyeuthuong chuc BIDV cung moi ng nam moi an khang thinh vuong,positive,2,tetyeuthuong chuc bidv cung_moi ng nam moi_an khang_thinh_vuong
# Tetyeuthuong Chúc BIDV một năm mới an khang - thịnh vượng.,positive,2,tetyeuthuong chúc bidv một năm mới an_khang - thịnh_vượng .
# Tetyeuthuong . Chúc mừng năm mới . Chúc BIDV vươn cao hơn nữa. Nghĩ đến bank là nhớ đến BIDV. Tham gia nè Hạnh Đoàn Nhật Kim Phùng Ngọc,positive,2,tetyeuthuong . chúc_mừng năm mới . chúc bidv vươn cao hơn_nữa . nghĩ đến bank là nhớ đến bidv . tham_gia nè hạnh_đoàn nhật_kim phùng ngọc
Gớm  quái  bồ,negative,0,gớm quái_bồ
Tôi muốn hỏi điều kiện đổi PIN như thế nào?,neutral,1,tôi muốn hỏi điều_kiện đổi_pin như_thế_nào ?
BIDV phát triển quá nè,positive,2,bidv phát_triển quá nè
Đã đăng kí mấy lần như ko có ai gọi dt hay mail...lên ngân hàng thì bảo ko có thông tin...quá tệ BIDV ah,negative,0,đã đăng_kí mấy lần như không có ai gọi điện_thoại hay mail . lên ngân_hàng thì bảo không có thông_tin . quá tệ bidv ah
Tôi muốn hỏi lãi suất tiết kiệm của ngân hàng là bao nhiêu?,neutral,1,tôi muốn hỏi lãi_suất tiết_kiệm của ngân_hàng là bao_nhiêu ?
"Mình  thề  là  chán  cái  ngân  hàng  vietcombank  lắm  luôn  , làm  ăn  như  shit  lâu  lắc, quầy  trống  nó  ngồi  chơi  ko chịu  làm  , đm... Tại  cty  chuyển  khoản  nên  mới  xài  ko thì  éo  , thử  qua ACB xem,  nhân  viên  ở  đâu  cũng  thân  thiện  làm  việc  cực  kỳ  nhanh",negative,0,"mình thề là chán cái ngân_hàng vietcombank lắm luôn , làm_ăn như shit lâu_lắc , quầy trống nó ngồi chơi không chịu làm , đm . tại cty chuyển_khoản nên mới xài không thì éo , thử qua acb xem , nhân_viên ở đâu cũng thân_thiện làm_việc cực_kỳ nhanh"
"ngan hàng cho minh cau giải thích vì sao đang ký cả sms và IB mà chỉ sử dụng được IB, còn sms ai gửi tiền đều k thấy j hết, sắng nay có ra phong giao dich quang trung go vấp mà nhận dk câu trả lời k hài lòng, kèm theo thái độ k tốt của nhân viên,",negative,0,"ngan hàng cho minh_cau giải_thích vì sao đang ký cả sms và ib mà chỉ sử_dụng được ib , còn sms ai gửi tiền đều không thấy j hết , sắng nay có ra phong giao dich_quang trung_go vấp mà nhận dk câu trả_lời không hài_lòng , kèm theo thái_độ không tốt của nhân_viên ,"
"BIDV - Ngân hàng TMCP Đầu Tư & Phát Triển Việt Nam ok có thể các bạn đã cải thiện, cảm ơn các bạn đồng hành cùng người vay để cùng có lợi",positive,2,"bidv - ngân_hàng tmcp đầu_tư & phát_triển việt_nam ok có_thể các bạn đã cải_thiện , cảm_ơn các bạn đồng_hành cùng người vay để cùng có lợi"
# Tetyeuthuong . Chúc BIDV ngày càng phát triển phồn thịnh.,positive,2,tetyeuthuong . chúc bidv ngày_càng phát_triển phồn_thịnh .
Hon  con  cặc   lua  dao,negative,0,hon con cặc lua dao
# tetyeuthuong chúc bidv ngày càng phát triển tài lộc phơi phới,positive,2,tetyeuthuong chúc bidv ngày_càng phát_triển tài_lộc phơi phới
